RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
27258,370085K00,2003-08-08T00:00:00.000Z,319000,927:802
27259,370085K00,2015-12-04T00:00:00.000Z,0,2015:4450
27260,370085L00,2013-11-05T00:00:00.000Z,435000,2013:5432
27261,370085L00,2003-08-07T00:00:00.000Z,80000,927:120
27262,370085L00,2004-02-20T00:00:00.000Z,324000,959:802
27263,370085M00,2002-05-10T00:00:00.000Z,365000,851:898
27264,370085M00,2003-06-25T00:00:00.000Z,345125,915:872
27265,370085N00,2004-05-10T00:00:00.000Z,346200,973:625
27266,370085N00,2017-05-23T00:00:00.000Z,496500,2017:1944
27267,370085N00,2011-08-01T00:00:00.000Z,382000,2011:2728
27268,370085N00,2002-05-10T00:00:00.000Z,365000,851:898
27269,370085O00,2004-08-23T00:00:00.000Z,364900,992:458
27270,370085O00,2014-10-31T00:00:00.000Z,385000,2014:3785
