geo_name,geo_sumlevel,geo_id,income_2013,income_2014,income_2015,income_2016,median_property_value_2013,median_property_value_2014,median_property_value_2015,median_property_value_2016
"Rockport, TX","place",16000US4862804,52820,47887,47865,57958,198500,186800,189300,203500
"Rocksprings, TX","place",16000US4862816,37250,38214,34402,31863,52300,60400,54900,49400
"Rockwall, TX","place",16000US4862828,85710,86627,88810,89173,191900,188500,194200,205700
"Rocky Mound, TX","place",16000US4862870,34940,36875,,,60000,65000,61300,67000
"Rogers, TX","place",16000US4862924,42868,46875,41563,44844,66900,68300,67900,66300
"Rollingwood, TX","place",16000US4863008,158304,161429,176250,168125,672300,722400,757100,839200
"Roma, TX","place",16000US4863020,19900,20095,19299,19842,77300,78200,72300,70200
"Roma Creek, TX","place",16000US4863026,61293,62989,,42794,74100,72800,72100,70800
"Roman Forest, TX","place",16000US4863044,88066,91383,93289,94323,167000,168000,177100,186000
"Ropesville, TX","place",16000US4863140,40179,40139,40000,49375,51700,57100,58300,55900
"Roscoe, TX","place",16000US4863176,39375,39125,41250,48846,43200,51300,53200,58100
"Rosebud, TX","place",16000US4863188,24271,29167,32250,30978,42500,43000,52000,55000
"Rose City, TX","place",16000US4863200,46429,38021,45875,53750,63800,60800,69400,85600
"Rose Hill Acres, TX","place",16000US4863272,72188,67750,67917,69583,128000,125700,127700,125400
"Rosenberg, TX","place",16000US4863284,44347,44318,44916,47194,110300,114900,111800,119500
"Rosharon, TX","place",16000US4863332,48750,47298,51456,54250,106200,100200,89300,67300
"Rosita, TX","place",16000US4863350,24478,30156,30179,31122,55600,59500,65600,68200
"Ross, TX","place",16000US4863380,51500,40625,49375,59375,105500,109900,109700,110700
"Rosser, TX","place",16000US4863404,41458,48750,41071,41042,58400,53500,61400,68300
"Rotan, TX","place",16000US4863464,33448,35781,33945,33892,41800,43200,48100,50200
"Round Mountain, TX","place",16000US4863476,51667,77964,50795,,106400,79400,180000,
"Round Rock, TX","place",16000US4863500,69533,70952,72412,74087,168800,172500,179900,192500
"Round Top, TX","place",16000US4863524,51250,63750,51250,68750,350000,275000,310000,375000
"Rowlett, TX","place",16000US4863572,83368,83442,83416,85565,158500,159400,162000,168500
"Roxton, TX","place",16000US4863584,28542,26563,22292,20750,56700,58800,49100,48200
"Royse City, TX","place",16000US4863668,65213,66619,75625,72593,131500,134000,137200,142400
"Rule, TX","place",16000US4863752,33958,31700,30652,30417,28600,35200,28600,24600
"Runaway Bay, TX","place",16000US4863782,78893,79044,80275,80425,160200,154300,157600,154500
"Runge, TX","place",16000US4863788,26364,36328,36016,36250,40600,40300,45700,47100
"Rusk, TX","place",16000US4863848,36786,35417,41864,37119,69600,76600,70800,81100
"Sabinal, TX","place",16000US4864004,30313,34241,36458,37321,65800,64800,59200,63300
"Sachse, TX","place",16000US4864064,87171,91543,89428,93270,181500,181700,177700,184200
"Sadler, TX","place",16000US4864088,36667,37143,41000,58438,62000,54600,58000,59300
"Saginaw, TX","place",16000US4864112,73696,74521,74903,81070,122100,122800,125100,130000
"St. Hedwig, TX","place",16000US4864172,72679,71550,72574,75035,158900,153800,161700,179500
"St. Jo, TX","place",16000US4864184,45774,45227,41667,48875,70900,68500,67900,73400
"St. Paul, TX","place",16000US4864220,91429,89900,88750,90000,254200,248500,253600,258400
"St. Paul, San-Patricio County, TX","place",16000US4864244,43571,72617,,,111700,136500,,71300
"Salado, TX","place",16000US4864268,93000,83050,80507,80761,227700,220300,229100,229100
"Salineño, TX","place",16000US4864316,49375,10833,9444,,74000,29100,27900,
"Salineño North, TX","place",16000US4864322,,,,,,,,
"Sammy Martinez, TX","place",16000US4864442,,34712,40000,34375,,127900,107500,131300
"Samnorwood, TX","place",16000US4864448,,61250,,,,65000,,
"Sam Rayburn, TX","place",16000US4864460,72500,64009,77083,71500,170800,177600,181100,194300
